building_id,damage_grade
300051,3
99355,1
890251,1
745817,3
421793,1
871976,1
691228,3
896100,1
343471,1
766647,1
800548,1
652685,3
590834,3
612530,1
535718,3
269418,1
281421,1
797571,1
216579,1
81554,1
132785,1
976125,1
851237,1
322922,3
786774,3
922680,3
134349,3
551456,1
194812,1
520031,1
765502,3
517764,3
174470,1
395012,1
159776,3
62638,3
65760,3
761527,1
37201,3
853163,1
562505,1
349010,3
780817,3
179897,3
845103,1
171560,1
586661,1
84102,1
610806,1
269531,1
3781,1
127674,1
820462,1
955190,1
405557,1
143219,3
360041,3
378036,1
613583,3
992040,1
849585,1
491236,1
847580,1
229211,1
173624,3
642562,1
86467,1
684629,3
304627,3
255913,1
861624,1
367328,3
13216,1
838446,3
981040,1
335849,1
823769,3
666855,1
398783,1
829946,1
326177,1
359387,1
924578,1
712624,3
946541,1
373943,1
865274,3
522404,3
841632,1
649142,3
332157,3
722082,3
279597,1
107512,3
26477,1
138895,1
553866,1
157718,3
582842,1
123399,1
189875,3
70843,1
225218,1
703273,1
245176,1
760257,1
641933,1
76772,1
302226,1
535232,3
311900,3
859468,1
496582,3
970295,1
38184,3
533972,1
787930,3
706637,1
684359,1
744804,3
675284,1
900064,1
13833,1
483231,1
993785,1
91756,1
116435,1
27649,1
806119,1
527762,1
119879,1
521901,1
960588,1
150992,3
136949,1
681857,1
676342,1
85413,1
242230,3
46916,1
343837,1
693348,1
826208,1
639042,1
180348,1
997642,1
1014983,3
995476,1
599482,3
405738,1
209844,1
51119,1
1009242,1
260072,1
504317,3
678345,1
96671,1
738466,1
475174,1
767788,1
73477,3
140388,3
514634,1
59716,1
1038485,3
531485,1
666051,3
799813,1
420703,3
589536,1
661373,1
183074,1
875195,1
734876,1
988161,1
596967,3
370776,1
422000,1
829879,1
622400,1
789622,1
780895,3
14602,1
988846,1
1052375,3
101200,1
1005009,3
892887,1
582579,1
643663,1
420773,1
593771,1
678254,3
842277,1
797666,1
247831,1
987658,3
738804,1
803821,1
450829,1
490713,1
317799,1
260213,1
563507,1
890921,3
358475,3
877097,1
611331,1
140112,1
489116,3
751219,1
637592,3
363399,1
349807,1
1010213,1
274275,1
422044,1
635742,3
162240,1
380659,3
39235,1
594817,1
276267,3
622421,1
411651,1
528011,1
851293,1
669376,1
1753,3
638718,1
751101,1
559460,1
76515,1
80460,3
553776,1
312150,3
772309,1
437345,3
487537,1
393387,1
891125,3
1023631,1
107261,3
126191,1
137116,3
929006,1
222150,1
910002,1
86044,3
176074,1
153074,3
610702,1
856941,3
617478,1
485928,1
922208,3
306370,1
236678,1
419900,3
699568,3
771219,3
991482,1
211384,1
607193,1
911675,1
526435,1
303475,1
592882,1
715235,1
493169,1
981940,1
991842,1
942957,1
547080,1
636191,1
823756,1
151559,3
467575,3
17506,3
356258,3
235542,1
950690,1
715814,3
755888,1
550420,3
447977,3
490413,1
497546,1
975798,1
27136,3
705001,1
827358,1
812768,1
198545,1
69810,1
687284,1
169271,1
560991,1
89659,1
196494,1
978469,1
541401,1
762181,1
887981,1
974381,1
214827,1
14115,3
150603,1
236827,1
826290,1
1016586,1
417251,1
199989,1
41040,1
329865,1
446380,1
573543,1
79534,1
543998,1
675804,3
631605,3
715430,1
727165,1
453777,1
887410,1
808062,1
1953,1
540933,1
623996,1
352967,1
709290,1
68067,1
968956,1
1012455,3
774608,1
240334,1
696228,1
559784,1
769031,1
474176,3
507163,1
603898,3
759753,1
645053,3
847961,3
163437,1
205013,3
937195,1
817641,1
343929,1
734640,1
906212,1
1001446,1
42716,3
419453,1
340413,1
721995,1
652323,1
458622,3
1005075,3
331964,3
931599,1
180058,1
1035486,3
922921,1
691109,3
244922,1
124734,1
545585,1
51735,1
668804,1
817800,1
505387,1
927828,3
667734,3
71864,1
275425,3
253666,3
38136,1
1045388,3
834056,1
830675,1
172719,1
281148,3
940273,1
321838,1
486381,1
653205,1
835269,1
81648,3
172425,1
727971,1
928472,1
895215,1
1023647,1
997859,1
29304,3
57153,1
528607,1
749817,1
706544,1
760999,1
778465,3
987945,1
177903,1
639871,3
829665,1
823007,1
877761,1
960378,1
994124,1
461282,1
569582,1
474338,3
446462,3
489129,1
66319,1
639951,3
4119,1
359974,3
543191,1
595402,1
1022182,3
216000,3
938235,1
292853,1
904254,1
694129,1
63746,1
925788,1
1040364,1
231970,1
667627,1
24760,1
281116,1
628374,1
927502,1
917261,1
925061,1
754879,1
648017,1
1048403,3
345848,3
206436,1
163503,1
612314,1
319962,1
652056,1
1014522,1
13140,1
214595,1
766431,1
127828,3
762655,3
79942,1
531579,3
762192,1
517526,1
790207,1
403017,1
325920,1
707937,3
788206,1
139898,1
296391,1
142435,1
133505,1
869304,1
842457,3
202608,1
161175,3
405360,1
86071,3
367521,1
432450,1
673069,1
580987,1
165889,1
482079,3
258213,3
746545,3
807496,3
63435,1
929945,1
454423,1
125564,1
1039578,1
821925,1
611670,3
848791,1
315114,3
806337,3
885249,1
44495,3
822683,1
65363,1
479789,1
935930,1
1038670,1
591363,1
897543,3
1021192,1
432497,3
626116,1
802777,1
458484,3
1016345,1
414200,1
332952,1
720464,1
674703,1
1010825,1
